265,61
269,60
270,60
269,60
269,60
270,60
265,61
270,60
266,61
270,60
268,60
270,60
265,61
265,61
270,60
268,60
270,60
269,60
272,59
266,61
272,59
266,61
272,59
272,59
267,61
272,59
270,60
266,61
273,59
273,59
273,59
267,61
268,60
271,59
274,58
275,58
271,59
277,57
270,60
275,58
273,59
280,56
281,56
282,56
277,57
284,55
282,56
286,54
286,54
286,54
288,54
286,54
288,54
284,55
288,54
290,53
290,53
284,55
285,55
291,53
292,52
287,54
287,54
292,52
291,53
290,53
293,52
291,53
292,52
296,51
295,51
298,50
297,51
298,50
298,50
294,52
298,50
299,50
298,50
299,50
298,50
296,51
298,50
298,50
293,52
298,50
296,51
299,50
299,50
292,52
293,52
298,50
299,50
300,50
296,51
295,51
294,52
300,50
300,50
301,49
296,51
302,49
301,49
297,51
298,50
300,50
302,49
302,49
298,50
298,50
294,52
297,51
298,50
302,49
302,49
297,51
301,49
298,50
298,50
298,50
297,51
299,50
304,48
297,51
299,50
303,49
299,50
304,48
305,48
296,51
295,51
303,49
299,50
298,50
303,49
303,49
298,50
299,50
300,50
298,50
301,49
301,49
297,51
300,50
300,50
304,48
304,48
300,50
304,48
299,50
304,48
303,49
303,49
304,48
303,49
297,51
303,49
301,49
297,51
297,51
303,49
299,50
296,51
303,49
303,49
297,51
304,48
297,51
297,51
303,49
297,51
298,50
295,51
297,51
301,49
300,50
300,50
295,51
303,49
296,51
303,49
301,49
304,48
298,50
304,48
298,50
298,50
299,50
300,50
300,50
298,50
304,48
300,50
300,50
302,49
304,48
304,48
301,49
303,49
298,50
304,48
304,48
299,50
297,51
297,51
304,48
298,50
297,51
304,48
304,48
305,48
304,48
304,48
303,49
304,48
306,48
299,50
301,49
305,48
305,48
305,48
305,48
300,50
303,49
305,48
305,48
300,50
302,49
297,51
305,48
305,48
299,50
301,49
298,50
302,49
303,49
304,48
304,48
301,49
304,48
299,50
304,48
298,50
294,52
299,50
303,49
298,50
304,48
304,48
304,48
300,50
297,51
304,48
297,51
304,48
304,48
304,48
301,49
300,50
302,49
302,49
302,49
302,49
298,50
302,49
302,49
298,50
298,50
303,49
296,51
304,48
304,48
304,48
301,49
304,48
304,48
304,48
301,49
304,48
304,48
303,49
297,51
298,50
297,51
299,50
304,48
304,48
300,50
304,48
297,51
298,50
304,48
305,48
302,49
297,51
304,48
300,50
304,48
302,49
299,50
301,49
300,50
304,48
304,48
304,48
304,48
305,48
302,49
304,48
303,49
305,48
305,48
298,50
299,50
298,50
300,50
305,48
299,50
302,49
298,50
305,48
301,49
300,50
297,51
302,49
305,48
301,49
304,48
302,49
304,48
304,48
304,48
296,51
304,48
304,48
304,48
304,48
304,48
299,50
298,50
304,48
305,48
301,49
304,48
296,51
298,50
304,48
298,50
304,48
302,49
304,48
305,48
298,50
305,48
304,48
305,48
305,48
299,50
301,49
305,48
300,50
304,48
299,50
304,48
304,48
298,50
300,50
304,48
299,50
303,49
303,49
298,50
304,48
304,48
304,48
302,49
301,49
305,48
305,48
305,48
303,49
305,48
305,48
305,48
304,48
305,48
299,50
305,48
305,48
305,48
304,48
304,48
304,48
305,48
298,50
305,48
299,50
300,50
310,46
307,47
305,48
306,48
305,48
306,48
305,48
301,49
306,48
306,48
306,48
306,48
304,48
306,48
307,47
306,48
306,48
305,48
304,48
301,49
298,50
301,49
305,48
302,49
306,48
301,49
298,50
306,48
297,51
305,48
305,48
301,49
305,48
301,49
306,48
306,48
307,47
304,48
307,47
308,47
308,47
307,47
308,47
308,47
308,47
308,47
308,47
308,47
304,48
301,49
306,48
303,49
308,47
303,49
308,47
308,47
309,47
308,47
308,47
308,47
308,47
308,47
308,47
308,47
308,47
304,48
308,47
308,47
304,48
308,47
308,47
308,47
308,47
308,47
309,47
309,47
302,49
308,47
308,47
301,49
301,49
305,48
300,50
306,48
308,47
308,47
308,47
309,47
308,47
308,47
308,47
307,47
303,49
308,47
304,48
304,48
308,47
309,47
301,49
303,49
306,48
308,47
305,48
308,47
309,47
304,48
303,49
301,49
302,49
303,49
301,49
308,47
308,47
308,47
302,49
308,47
301,49
308,47
303,49
308,47
308,47
308,47
304,48
308,47
305,48
304,48
301,49
306,48
303,49
309,47
309,47
309,47
304,48
305,48
302,49
304,48
304,48
310,46
304,48
302,49
309,47
304,48
309,47
309,47
304,48
303,49
305,48
303,49
307,47
309,47
309,47
310,46
309,47
304,48
309,47
309,47
309,47
309,47
310,46
305,48
307,47
303,49
309,47
309,47
302,49
310,46
307,47
309,47
309,47
308,47
309,47
305,48
309,47
310,46
310,46
306,48
306,48
305,48
310,46
310,46
306,48
309,47
307,47
311,46
307,47
307,47
311,46
304,48
308,47
305,48
311,46
310,46
308,47
306,48
308,47
310,46
311,46
311,46
311,46
311,46
303,49
308,47
310,46
309,47
310,46
305,48
310,46
304,48
310,46
310,46
306,48
310,46
303,49
311,46
304,48
304,48
311,46
306,48
311,46
311,46
304,48
307,47
304,48
307,47
310,46
312,46
311,46
311,46
308,47
305,48
305,48
310,46
306,48
308,47
311,46
308,47
311,46
311,46
312,46
